area,category,iter_1_score,iter_1_date,iter_2_score,iter_2_date,iter_3_score,iter_3_date,iter_4_score,iter_4_date,iter_5_score,iter_5_date,iter_6_score,iter_6_date,iter_7_score,iter_7_date,iter_8_score,iter_8_date,iter_9_score,iter_9_date,iter_10_score,iter_10_date,target,status
api-rest,uri-design,7.0,2026-04-10,7.0,2026-04-11,7.0,2026-04-12,,,,,,,,,,,,,,,8.5,in-progress
api-rest,http-verbs,6.5,2026-04-10,8.0,2026-04-11,7.0,2026-04-12,,,,,,,,,,,,,,,8.0,in-progress
api-rest,organization,5.5,2026-04-10,6.0,2026-04-11,8.0,2026-04-12,,,,,,,,,,,,,,,8.0,achieved
api-rest,auth-security,7.0,2026-04-10,7.5,2026-04-11,7.0,2026-04-12,,,,,,,,,,,,,,,8.5,in-progress
api-rest,consistency,5.0,2026-04-10,6.5,2026-04-11,8.0,2026-04-12,,,,,,,,,,,,,,,8.0,achieved
api-rest,crud-completeness,7.5,2026-04-10,8.0,2026-04-11,9.0,2026-04-12,,,,,,,,,,,,,,,8.0,achieved
api-rest,pagination-filtering,4.0,2026-04-10,4.0,2026-04-11,7.0,2026-04-12,,,,,,,,,,,,,,,8.0,in-progress
api-rest,http-status-codes,3.5,2026-04-10,7.5,2026-04-11,9.0,2026-04-12,,,,,,,,,,,,,,,8.0,achieved
api-rest,schemas-models,7.0,2026-04-10,7.0,2026-04-11,8.0,2026-04-12,,,,,,,,,,,,,,,8.0,achieved
api-rest,documentation-dx,5.5,2026-04-10,5.5,2026-04-11,8.0,2026-04-12,,,,,,,,,,,,,,,8.0,achieved
api-rest,GLOBAL,58.5,2026-04-10,67.0,2026-04-11,78.0,2026-04-12,,,,,,,,,,,,,,,85.0,in-progress
portal-web-conversion,landing-clarity,7.0,2026-05-29,,,,,,,,,,,,,,,,,,,8.0,in-progress
portal-web-conversion,school-selection,7.0,2026-05-29,,,,,,,,,,,,,,,,,,,8.0,in-progress
portal-web-conversion,catalog-ux,6.5,2026-05-29,,,,,,,,,,,,,,,,,,,8.0,in-progress
portal-web-conversion,product-detail,4.0,2026-05-29,,,,,,,,,,,,,,,,,,,8.0,in-progress
portal-web-conversion,cart-checkout,1.0,2026-05-29,,,,,,,,,,,,,,,,,,,8.0,in-progress
portal-web-conversion,registration,5.0,2026-05-29,,,,,,,,,,,,,,,,,,,7.0,in-progress
portal-web-conversion,payment-flow,6.0,2026-05-29,,,,,,,,,,,,,,,,,,,8.0,in-progress
portal-web-conversion,confirmation,2.0,2026-05-29,,,,,,,,,,,,,,,,,,,8.0,in-progress
portal-web-conversion,mobile-ux,5.0,2026-05-29,,,,,,,,,,,,,,,,,,,8.0,in-progress
portal-web-conversion,trust-credibility,5.0,2026-05-29,,,,,,,,,,,,,,,,,,,7.0,in-progress
portal-web-conversion,GLOBAL,48.5,2026-05-29,,,,,,,,,,,,,,,,,,,80.0,in-progress
portal-web-mobile,load-speed,,,,,,,,,,,,,,,,,,,,,8.0,pending
portal-web-mobile,touch-targets,,,,,,,,,,,,,,,,,,,,,8.0,pending
portal-web-mobile,navigation,,,,,,,,,,,,,,,,,,,,,8.0,pending
portal-web-mobile,forms,,,,,,,,,,,,,,,,,,,,,8.0,pending
portal-web-mobile,images,,,,,,,,,,,,,,,,,,,,,7.0,pending
